date,total_patients,year,source_file,source_sheet
2022-05-20,3,2022,heat_illness_2022.xls,총괄
2022-05-21,2,2022,heat_illness_2022.xls,총괄
2022-05-22,3,2022,heat_illness_2022.xls,총괄
2022-05-23,4,2022,heat_illness_2022.xls,총괄
2022-05-24,5,2022,heat_illness_2022.xls,총괄
2022-05-25,5,2022,heat_illness_2022.xls,총괄
2022-05-26,0,2022,heat_illness_2022.xls,총괄
2022-05-27,0,2022,heat_illness_2022.xls,총괄
2022-05-28,7,2022,heat_illness_2022.xls,총괄
2022-05-29,1,2022,heat_illness_2022.xls,총괄
2022-05-30,0,2022,heat_illness_2022.xls,총괄
2022-05-31,1,2022,heat_illness_2022.xls,총괄
2022-06-01,6,2022,heat_illness_2022.xls,총괄
2022-06-02,2,2022,heat_illness_2022.xls,총괄
2022-06-03,11,2022,heat_illness_2022.xls,총괄
2022-06-04,3,2022,heat_illness_2022.xls,총괄
2022-06-05,1,2022,heat_illness_2022.xls,총괄
2022-06-06,3,2022,heat_illness_2022.xls,총괄
2022-06-07,1,2022,heat_illness_2022.xls,총괄
2022-06-08,1,2022,heat_illness_2022.xls,총괄
2022-06-09,1,2022,heat_illness_2022.xls,총괄
2022-06-10,6,2022,heat_illness_2022.xls,총괄
2022-06-11,4,2022,heat_illness_2022.xls,총괄
2022-06-12,6,2022,heat_illness_2022.xls,총괄
2022-06-13,0,2022,heat_illness_2022.xls,총괄
2022-06-14,1,2022,heat_illness_2022.xls,총괄
2022-06-15,1,2022,heat_illness_2022.xls,총괄
2022-06-16,2,2022,heat_illness_2022.xls,총괄
2022-06-17,7,2022,heat_illness_2022.xls,총괄
2022-06-18,10,2022,heat_illness_2022.xls,총괄
2022-06-19,7,2022,heat_illness_2022.xls,총괄
2022-06-20,13,2022,heat_illness_2022.xls,총괄
2022-06-21,24,2022,heat_illness_2022.xls,총괄
2022-06-22,25,2022,heat_illness_2022.xls,총괄
2022-06-23,3,2022,heat_illness_2022.xls,총괄
2022-06-24,8,2022,heat_illness_2022.xls,총괄
2022-06-25,6,2022,heat_illness_2022.xls,총괄
2022-06-26,10,2022,heat_illness_2022.xls,총괄
2022-06-27,3,2022,heat_illness_2022.xls,총괄
2022-06-28,4,2022,heat_illness_2022.xls,총괄
2022-06-29,8,2022,heat_illness_2022.xls,총괄
2022-06-30,12,2022,heat_illness_2022.xls,총괄
2022-07-01,56,2022,heat_illness_2022.xls,총괄
