지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2025-05-15,22.2,17.8,28.4,.5,2.2,56.8,9,22.48
90,속초,2025-05-16,21.2,18.3,24.6,.2,1.6,67.1,4.2,15.23
90,속초,2025-05-17,19.8,15.4,26.4,0,2.9,69.8,11.8,25.37
90,속초,2025-05-18,16.6,13.7,19.2,,2.9,53.1,12.7,27.86
90,속초,2025-05-19,18.1,11.8,25.3,,2.7,49.1,7.6,22.06
90,속초,2025-05-20,22,16.1,29.8,,2.6,67.6,9.8,22.84
90,속초,2025-05-21,16,13.4,23.3,.1,2.4,84.4,4.3,17.04
90,속초,2025-05-22,15.3,11.9,19,1.3,1.6,76.9,9.8,26.15
90,속초,2025-05-23,14.6,11.5,17,1.9,1.5,85.9,0,9.39
90,속초,2025-05-24,13.7,12.8,15.3,1.6,1.4,82.6,.1,6.71
90,속초,2025-05-25,14.6,8.8,19,,2.6,79.6,11.9,28.05
90,속초,2025-05-26,16.4,12.6,21.2,,2.2,79.5,12.9,26.92
90,속초,2025-05-27,16.9,12.3,21,,1.6,78.6,13.2,27.98
90,속초,2025-05-28,15.7,14.3,17.7,0,2,88.3,1.1,14.14
90,속초,2025-05-29,16.5,13.4,20.4,,2.1,84.1,9,24.17
90,속초,2025-05-30,15.7,11.9,19.7,,1.9,81.4,13,27.07
90,속초,2025-05-31,17,10.3,22.1,,1.6,68.5,11.1,25.07
90,속초,2025-06-01,17,14.6,19.8,,2.1,81.5,8.7,25.08
90,속초,2025-06-02,18.5,15.3,22.7,0,1.1,84,0,7.12
90,속초,2025-06-03,19,14.3,24.2,7.1,1.8,74.9,6.8,20.42
90,속초,2025-06-04,20.6,14.7,26.8,0,3.1,46.6,8.7,22.08
90,속초,2025-06-05,23.5,16.8,30.2,,2.5,45.3,13.1,29.45
90,속초,2025-06-06,25.6,20.8,32.4,,2.7,38.1,12.4,27.54
90,속초,2025-06-07,22.7,19.4,27,,2.6,59.6,5.2,13.72
90,속초,2025-06-08,21.4,18.5,23.8,,1.9,74.3,13.4,28.99
90,속초,2025-06-09,22.3,17.7,26.9,,2.2,72.8,13,29.52
90,속초,2025-06-10,26.5,21.8,31,,3.3,42.5,5.5,15.51
90,속초,2025-06-11,23.9,19.6,29.6,,3.3,44.8,12.9,29.48
90,속초,2025-06-12,21.8,17.8,25.2,,1.6,65.5,13.7,30.4
90,속초,2025-06-13,21.3,17.7,25.2,0,1.7,80.8,8,22.48
90,속초,2025-06-14,21.6,19.3,25.5,,1.8,83.5,8.9,23.87
90,속초,2025-06-15,20.4,19.2,22.6,3.9,2.2,85.8,0,12.54
90,속초,2025-06-16,21,19.1,25.1,11,1.8,86.9,2.2,10.39
90,속초,2025-06-17,25.4,20.3,31.5,,2.2,56.4,12.5,26.93
90,속초,2025-06-18,24.4,20.3,29.6,,2,68,13.7,28.98
90,속초,2025-06-19,26.2,20.9,32.5,,1.9,59,11.5,27.16
90,속초,2025-06-20,25.1,19.7,30,1.2,2.8,74.1,0,3.01
90,속초,2025-06-21,23.3,19.6,28.5,0,2.1,72.3,.1,9.74
90,속초,2025-06-22,27.6,22,32.2,,3.2,43.5,13.7,30.64
90,속초,2025-06-23,23,19.5,25.8,,1.7,68.6,13.3,30.51
90,속초,2025-06-24,21.1,16.9,23.3,.2,1.6,75.5,3.8,14.07
90,속초,2025-06-25,20.3,18.1,22.5,5.2,1.9,83.6,.3,8.33
90,속초,2025-06-26,21.9,19.5,26.2,0,1.4,84.5,4.4,15.68
90,속초,2025-06-27,23.8,20.3,29,0,1.2,79.5,.6,13.28
90,속초,2025-06-28,22.9,21.4,25.9,1.6,1.2,89.4,.8,7.71
90,속초,2025-06-29,25.6,21.7,30.9,0,1.5,81,7.8,22.14
90,속초,2025-06-30,27.7,22.9,34.2,0,1.6,69.1,7.2,20.23
90,속초,2025-07-01,29.5,26.2,32.8,,1.7,62.3,5.1,14.93
90,속초,2025-07-02,31.4,27.9,34,0,2.5,53,4.7,13.45
90,속초,2025-07-03,28.8,26.9,31.9,0,1.4,63,,
90,속초,2025-07-04,29.1,25.2,32,0,3.4,56.9,3,9.13
90,속초,2025-07-05,30.6,25.7,35,,2.5,59.3,9.2,24.93
90,속초,2025-07-06,31.2,28.1,34.6,,2.8,59.4,5.9,18.45
90,속초,2025-07-07,27.7,24.2,31.2,,2.1,74.8,5,19.2
90,속초,2025-07-08,25.3,23.9,27.9,,1.3,76.1,3,19.5
90,속초,2025-07-09,25.3,22.5,28.2,,1.5,74.5,8,23.58
90,속초,2025-07-10,24.4,21.2,27.1,,2.8,78,13.4,28.97
90,속초,2025-07-11,24.6,22,27.9,,2,77.5,12.8,28.09
90,속초,2025-07-12,24.7,20.6,28.5,,3.2,78.1,13.4,29.62
90,속초,2025-07-13,25.1,22,28.8,.3,2.2,78.5,5.4,17.81
90,속초,2025-07-14,20.8,20,22.6,75.6,2.5,93.8,0,3.87
90,속초,2025-07-15,21.3,19.7,24.9,20.8,2.7,89.9,3.3,16.87
90,속초,2025-07-16,22.5,20.4,26.1,15.4,1.4,90.4,2.1,11.01
90,속초,2025-07-17,22,21.3,23.1,17.5,1.4,94.9,0,3.39
90,속초,2025-07-18,22.9,21.6,25.2,.9,1.4,92.8,1.2,10.7
90,속초,2025-07-19,24,21.7,27.9,11,1.4,88.8,3.1,14.07
90,속초,2025-07-20,25.9,23.4,29.4,7.1,1.4,84.5,3.9,14.13
90,속초,2025-07-21,29.1,24.6,35,,1.8,69.1,10.4,27.27
90,속초,2025-07-22,29.9,25.9,34.9,,2.1,64,7.9,22
90,속초,2025-07-23,28.7,25.3,32.8,,1.6,67.5,8.2,19.95
90,속초,2025-07-24,27.9,24.9,31.2,0,1.8,74,9.1,23.52
90,속초,2025-07-25,27.4,24.1,31.1,,1.5,79.1,13.4,28.57
90,속초,2025-07-26,28.4,24.6,31.9,,1.7,77.8,13.4,26.58
90,속초,2025-07-27,28.6,25.6,32.1,,1.5,77,13.6,28.49
90,속초,2025-07-28,29,26.3,32.9,,1.6,74.9,12.6,27.85
